12/11/17;6
13/11/17;5
14/11/17;8
15/11/17;3
16/11/17;13
17/11/17;3
18/11/17;3
19/11/17;2
20/11/17;11
21/11/17;12
22/11/17;2
23/11/17;6
24/11/17;12
25/11/17;5
26/11/17;5
27/11/17;9
28/11/17;9
29/11/17;12
30/11/17;3
01/12/17;3
02/12/17;3
03/12/17;10
04/12/17;12
05/12/17;3
06/12/17;2
07/12/17;5
08/12/17;0
09/12/17;5
10/12/17;1
11/12/17;5
12/12/17;4
13/12/17;1
14/12/17;0
15/12/17;5
16/12/17;1
17/12/17;0
18/12/17;1
19/12/17;10
20/12/17;5
21/12/17;3
22/12/17;9
23/12/17;10
24/12/17;5
25/12/17;11
26/12/17;5
27/12/17;5
28/12/17;9
29/12/17;5
30/12/17;6
31/12/17;11
