12/11/17;2
13/11/17;2
14/11/17;2
15/11/17;1
16/11/17;3
17/11/17;3
18/11/17;2
19/11/17;2
20/11/17;1
21/11/17;3
22/11/17;3
23/11/17;2
24/11/17;3
25/11/17;3
26/11/17;1
27/11/17;2
28/11/17;1
29/11/17;2
30/11/17;0
01/12/17;2
02/12/17;3
03/12/17;1
04/12/17;1
05/12/17;0
06/12/17;1
07/12/17;0
08/12/17;2
09/12/17;3
10/12/17;2
11/12/17;2
12/12/17;2
13/12/17;3
14/12/17;1
15/12/17;2
16/12/17;1
17/12/17;0
18/12/17;3
19/12/17;1
20/12/17;3
21/12/17;0
22/12/17;2
23/12/17;0
24/12/17;0
25/12/17;0
26/12/17;3
27/12/17;1
28/12/17;0
29/12/17;2
30/12/17;2
31/12/17;2
