12/11/17;7
13/11/17;3
14/11/17;9
15/11/17;12
16/11/17;4
17/11/17;5
18/11/17;10
19/11/17;17
20/11/17;11
21/11/17;5
22/11/17;2
23/11/17;19
24/11/17;13
25/11/17;11
26/11/17;4
27/11/17;1
28/11/17;8
29/11/17;6
30/11/17;3
01/12/17;11
02/12/17;1
03/12/17;16
04/12/17;19
05/12/17;18
06/12/17;8
07/12/17;15
08/12/17;14
09/12/17;19
10/12/17;13
11/12/17;15
12/12/17;19
13/12/17;8
14/12/17;18
15/12/17;0
16/12/17;10
17/12/17;13
18/12/17;7
19/12/17;1
20/12/17;0
21/12/17;2
22/12/17;19
23/12/17;18
24/12/17;6
25/12/17;19
26/12/17;2
27/12/17;14
28/12/17;16
29/12/17;2
30/12/17;6
31/12/17;16
