12/11/17;0
13/11/17;25
14/11/17;24
15/11/17;9
16/11/17;2
17/11/17;5
18/11/17;20
19/11/17;6
20/11/17;25
21/11/17;6
22/11/17;21
23/11/17;23
24/11/17;6
25/11/17;19
26/11/17;4
27/11/17;12
28/11/17;21
29/11/17;24
30/11/17;1
01/12/17;4
02/12/17;18
03/12/17;20
04/12/17;4
05/12/17;5
06/12/17;22
07/12/17;8
08/12/17;4
09/12/17;8
10/12/17;7
11/12/17;13
12/12/17;21
13/12/17;12
14/12/17;11
15/12/17;12
16/12/17;10
17/12/17;9
18/12/17;21
19/12/17;5
20/12/17;17
21/12/17;24
22/12/17;14
23/12/17;25
24/12/17;19
25/12/17;22
26/12/17;1
27/12/17;7
28/12/17;0
29/12/17;4
30/12/17;21
31/12/17;11
