12/11/17;16
13/11/17;40
14/11/17;39
15/11/17;21
16/11/17;12
17/11/17;27
18/11/17;17
19/11/17;15
20/11/17;14
21/11/17;21
22/11/17;16
23/11/17;40
24/11/17;25
25/11/17;35
26/11/17;43
27/11/17;36
28/11/17;14
29/11/17;43
30/11/17;36
01/12/17;37
02/12/17;33
03/12/17;36
04/12/17;38
05/12/17;30
06/12/17;23
07/12/17;15
08/12/17;19
09/12/17;20
10/12/17;13
11/12/17;25
12/12/17;37
13/12/17;22
14/12/17;31
15/12/17;24
16/12/17;27
17/12/17;25
18/12/17;17
19/12/17;10
20/12/17;24
21/12/17;34
22/12/17;24
23/12/17;13
24/12/17;36
25/12/17;14
26/12/17;16
27/12/17;43
28/12/17;18
29/12/17;17
30/12/17;30
31/12/17;12
